,0
0,77663
1,72451
2,76288
3,119502
4,130866
5,89389
6,90307
7,91406
8,117948
9,119581
10,99888
11,118464
12,119875
13,133626
14,145744
15,116355
16,120535
17,121756
18,124068
19,126750
20,128979
21,135927
22,147332
23,144411
24,148924
25,146618
26,149362
27,152156
28,155984
29,158420
30,200956
31,170150
32,187979
33,203047
34,184454
35,201723
36,202132
37,193607
38,197718
39,202979
40,371715
41,366599
42,215133
43,213698
44,216050
45,362841
46,366886
47,229248
48,366118
49,382041
50,374542
51,374677
52,368615
53,365393
54,366008
55,254297
56,365465
57,259052
58,300168
59,268585
60,268855
61,368465
62,368546
63,364250
