,loss,accuracy,val_loss,val_accuracy
0,2.154574394226074,0.0993560254573822,2.5478572845458984,0.04779411852359772
1,2.0479815006256104,0.13615454733371735,2.150017261505127,0.08088235557079315
2,1.9552106857299805,0.1637534499168396,1.5410003662109375,0.3658088147640228
3,1.812173843383789,0.2194112241268158,2.102829933166504,0.09558823704719543
4,1.593258023262024,0.35188591480255127,1.4428797960281372,0.4522058963775635
5,1.4290542602539062,0.456301748752594,1.0520086288452148,0.748161792755127
6,1.4168440103530884,0.4765409529209137,1.2444933652877808,0.5808823704719543
7,1.2883930206298828,0.5662373304367065,0.871153712272644,0.8033088445663452
8,1.1802382469177246,0.6297147870063782,0.7755247354507446,0.7922794222831726
9,1.1594412326812744,0.6462741494178772,0.8107770681381226,0.8088235259056091
10,1.0882854461669922,0.68767249584198,0.7412639260292053,0.841911792755127
11,1.162730097770691,0.6255750060081482,0.9832303524017334,0.7738970518112183
12,1.0689901113510132,0.7000920176506042,0.7667946815490723,0.8290441036224365
13,1.0077136754989624,0.735050618648529,0.7238983511924744,0.8492646813392639
14,0.9458809494972229,0.7608095407485962,0.7099876999855042,0.8474264740943909
15,0.930562436580658,0.7681692838668823,0.824266791343689,0.8198529481887817
16,1.0511988401412964,0.7023919224739075,0.7568716406822205,0.8474264740943909
17,1.06930410861969,0.6835326552391052,0.7319717407226562,0.8529411554336548
18,1.0706565380096436,0.6982520818710327,0.6759434342384338,0.8584558963775635
19,0.9977638721466064,0.7387304306030273,0.725637674331665,0.84375
20,0.9776995182037354,0.7364305257797241,0.6233949065208435,0.8713235259056091
21,0.8843286037445068,0.7966881394386292,0.641264021396637,0.8676470518112183
22,0.8708285093307495,0.791628360748291,0.678973913192749,0.8639705777168274
23,0.8511900305747986,0.7897884249687195,0.8328768014907837,0.875
24,0.8392713069915771,0.8026679158210754,0.8970861434936523,0.814338207244873
25,0.9505220055580139,0.752069890499115,0.7925927639007568,0.8345588445663452
26,0.8553985357284546,0.7943882346153259,0.6435873508453369,0.876838207244873
27,0.8098915219306946,0.8081876635551453,0.5932886600494385,0.8823529481887817
28,0.7765008211135864,0.8265869617462158,0.5067780017852783,0.8915441036224365
29,0.751364529132843,0.8348665833473206,0.503181517124176,0.908088207244873
30,0.7179298996925354,0.8514259457588196,0.4878796935081482,0.908088207244873
31,0.7020941972732544,0.8583256602287292,0.4970168471336365,0.8970588445663452
32,0.6930456757545471,0.856025755405426,0.4655248820781708,0.9154411554336548
33,0.6620224118232727,0.8666053414344788,0.4492867588996887,0.9025735259056091
34,0.6490181684494019,0.8693652153015137,0.4767777919769287,0.908088207244873
35,0.6456809639930725,0.8744249939918518,0.4430207312107086,0.908088207244873
36,0.6284490823745728,0.8822447061538696,0.4293576180934906,0.904411792755127
37,0.6174255013465881,0.8762649297714233,0.4485325813293457,0.90625
38,0.6026439666748047,0.8905243873596191,0.4222204089164734,0.9007353186607361
39,0.5893508195877075,0.8859245777130127,0.40322253108024597,0.9154411554336548
40,0.5818318128585815,0.8882244825363159,0.4616422951221466,0.9007353186607361
41,0.6314917206764221,0.8776448965072632,0.6928192377090454,0.8933823704719543
